Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.58669E-4,18.504749498,0.277293782,0.167491096,0.105263158,0.029069767
1.61569E-4,18.761667526,0.280938192,0.165908192,0.105263158,0.029069767
1.64465E-4,19.00608329,0.284541063,0.164424218,0.114035088,0.029069767
1.66956E-4,19.254677234,0.287611205,0.162940245,0.114035088,0.029069767
1.69567E-4,19.507861218,0.290800846,0.161456272,0.122807018,0.029069767
1.71188E-4,19.763302912,0.292766716,0.159972299,0.122807018,0.029069767
1.72942E-4,20.00428889,0.294882109,0.158587258,0.131578947,0.029069767
1.7572E-4,20.265928341,0.298206676,0.157103285,0.131578947,0.029069767
1.77704E-4,20.51320278,0.300561809,0.155718243,0.131578947,0.029069767
1.7967E-4,20.763590296,0.302879353,0.154333201,0.140350877,0.029069767
1.82472E-4,21.017294124,0.306157164,0.15294816,0.140350877,0.029069767
1.84586E-4,21.256064396,0.30860938,0.15166205,0.149122807,0.029069767
1.87008E-4,21.516017195,0.311397911,0.150277008,0.149122807,0.029069767
1.8895E-4,21.760141407,0.313616785,0.148990898,0.149122807,0.029069767
1.90695E-4,22.007027846,0.315599374,0.147704788,0.149122807,0.029069767
1.93492E-4,22.257615968,0.318752693,0.146418678,0.157894737,0.029069767
1.96331E-4,22.511371759,0.321923957,0.145132568,0.157894737,0.029069767
1.98284E-4,22.767687804,0.324089167,0.143846458,0.157894737,0.029069767
2.01578E-4,23.008097085,0.327707896,0.14265928,0.157894737,0.029069767
2.02596E-4,23.250707933,0.328818565,0.141472101,0.157894737,0.029069767
2.059E-4,23.516775841,0.332399561,0.140185991,0.157894737,0.029069767
2.06992E-4,23.764572744,0.333574139,0.138998813,0.157894737,0.029069767
2.09626E-4,24.01458774,0.336391,0.137811634,0.157894737,0.029069767
2.11901E-4,24.267428915,0.338804709,0.136624456,0.157894737,0.029069767
2.14346E-4,24.502387412,0.341379196,0.135536209,0.157894737,0.029069767
2.16799E-4,24.761240409,0.343942484,0.13434903,0.157894737,0.029069767
2.18584E-4,25.00081018,0.345794633,0.133260784,0.166666667,0.029069767
2.21431E-4,25.265211087,0.348728029,0.132073605,0.166666667,0.029069767
2.23278E-4,25.509772257,0.350617192,0.130985358,0.166666667,0.029069767
2.25426E-4,25.756839769,0.352800158,0.129897111,0.166666667,0.029069767
2.27777E-4,26.005978322,0.355173325,0.128808864,0.166666667,0.029069767
2.30345E-4,26.258257003,0.357744231,0.127720617,0.166666667,0.029069767
2.33274E-4,26.513363066,0.360652734,0.12663237,0.166666667,0.029069767
2.35498E-4,26.771289831,0.362843761,0.125544123,0.175438596,0.029069767
2.38323E-4,27.008672776,0.36560495,0.124554808,0.175438596,0.029069767
2.39685E-4,27.271739778,0.366928266,0.123466561,0.175438596,0.029069767
2.4053E-4,27.511929927,0.367745605,0.122477246,0.175438596,0.029069767
2.43643E-4,27.753706172,0.370740442,0.12148793,0.175438596,0.029069767
2.45399E-4,28.022820282,0.372417357,0.120399683,0.175438596,0.029069767
2.4745E-4,28.269238576,0.374365087,0.119410368,0.175438596,0.029069767
2.49817E-4,28.518298852,0.376597388,0.118421053,0.175438596,0.029069767
2.52523E-4,28.769723578,0.379130226,0.117431737,0.175438596,0.029069767
2.55217E-4,29.023772901,0.381631491,0.116442422,0.175438596,0.029069767
2.57864E-4,29.254831782,0.384069479,0.115552038,0.175438596,0.029069767
2.60633E-4,29.514245715,0.386599059,0.114562723,0.175438596,0.029069767
2.63221E-4,29.750046423,0.388944848,0.113672339,0.175438596,0.029069767
2.65981E-4,30.014717736,0.391426223,0.112683023,0.175438596,0.029069767
2.68549E-4,30.255606919,0.393717737,0.111792639,0.184210526,0.029069767
2.70824E-4,30.525414574,0.395733609,0.110803324,0.184210526,0.031976744
2.74013E-4,30.770988548,0.398536011,0.10991294,0.184210526,0.031976744
2.75887E-4,31.018611275,0.400170395,0.109022556,0.184210526,0.031976744
2.77711E-4,31.267828306,0.401753751,0.108132173,0.192982456,0.031976744
2.8036E-4,31.519124273,0.404037247,0.107241789,0.192982456,0.034883721
2.82851E-4,31.772606197,0.406169269,0.106351405,0.192982456,0.034883721
2.84596E-4,32.028221623,0.407653452,0.105461021,0.192982456,0.034883721
