X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
15.63825,38.21704,test,0.002375119873768643,91.67206278753014,0.8517077424464461
