locationRemarks;verbatimLocality;verbatimLatitude;verbatimLongitude;municipality;county;stateProvince;egg;larva;pupa;adult;verbatimEventDate
;Bati di Natile;38° 17´ 42,2ʺ;15° 58´ 47,85ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;10;16.09.2016
;Granatara;38° 29´ 0,82ʺ;15° 56´ 14,29ʺ;San Ferdinando;Reggio di Calabria;Calabria;;;;10;16.09.2016
;c.da petrace 01;38° 25´ 32,48ʺ;15° 53´ 41,02ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;9;16.09.2016
;c.da Mazzafero;38° 25´ 32,96ʺ;15° 53´ 41,64ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;10;16.09.2016
;c.da Marro;38° 18´ 10ʺ;15° 59´ 55ʺ;Taurianova;Reggio di Calabria;Calabria;;;;11;16.09.2016
;c.da petrace 02;38° 25´ 32,96ʺ;15° 53´ 41,64ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;11;16.09.2016
;c.da Perciara;38° 24´ 59,61ʺ;16° 5´ 40,82ʺ;Cinquefrondi;Reggio di Calabria;Calabria;;;;12;20.09.2016
;c.da San Lorenzo;38° 24´ 59,73ʺ;16° 5´ 40,82ʺ;Cinquefrondi;Reggio di Calabria;Calabria;;;;18;20.09.2016
;c.da Catena;38° 24´ 2,51ʺ;16° 4´ 5,68ʺ;Polistena;Reggio di Calabria;Calabria;;;;11;20.09.2016
;c.da Bufalo - Castellace;38° 18´ 48,09ʺ;15° 56´ 30,51ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;10;20.09.2016
;c.da Pignataro;38° 17´ 36,39ʺ;15° 58´ 47,85ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;13;20.09.2016
;c.da Bosco;38° 29´ 6,43ʺ;15° 58´ 46,85ʺ;Rosarno;Reggio di Calabria;Calabria;;16;;1;21.09.2016
;c.da Antonio Grio ;38° 21´ 16,73ʺ;16° 4´ 43,04ʺ;Cittanova;Reggio di Calabria;Calabria;;;;12;21.09.2016
;c.da Cartiera;38° 29´ 17,01ʺ;15° 38´ 41,98ʺ;Rosarno;Reggio di Calabria;Calabria;;;;8;21.09.2016
;c.da Cordi;38° 31´ 43,3ʺ;16° 6´ 27,63ʺ;Serrata;Reggio di Calabria;Calabria;;;;20;21.09.2016
;c.da Quarantano 1;38° 17´ 38,32ʺ;15° 58´ 47,85ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;11;27.09.2016
;c.da Quarantano 2;38° 20´ 57,64ʺ;15° 55´ 49,41ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;11;27.09.2016
;c.da Quarantano 3;38° 17´ 40,26ʺ;15° 58´ 42,92ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;9;27.10.2016
;c.da Salvatore;38° 18´ 14,2ʺ;15° 59´ 50,89ʺ;Varapodio;Reggio di Calabria;Calabria;;;;7;07.10.2016
;c.da Calipo;38° 18´ 10,33ʺ;15° 59´ 50,89ʺ;Varapodio;Reggio di Calabria;Calabria;;58;;10;07.10.2016
;c.da Monacelli;38° 26´ 59,36ʺ;16° 2´ 50,72ʺ;Melicucco;Reggio di Calabria;Calabria;;;;6;20.10.2016
;c.da Tremola;38° 27´ 47,76ʺ;16° 10´ 38,53ʺ;Galatro;Reggio di Calabria;Calabria;;;;7;27.10.2016
;c.da Antonio Grio 2;38° 24´ 39,86ʺ;16° 0´ 39,14ʺ;Cittanova;Reggio di Calabria;Calabria;;;;17;02.11.2016
;;38° 18´ 10ʺ;15° 59´ 55ʺ;Varapodio;Reggio di Calabria;Calabria;;;;19;07.12.2016
Станция № 10 защитна зона;Drosi;38° 25´ 30ʺ;15° 57´ 23,88ʺ;Rizziconi;Reggio di Calabria;Calabria;;;;22;03.04.2017
Станция № 31 защитна зона;C.DA Contrada Colture;38° 25´ 0,07ʺ;16° 27´ 59,68ʺ;Stignano;Reggio di Calabria;Calabria;;;;1;14.06.2017
Станция № 17 защитна зона;C.DA Via Fiumara Alta;38° 14´ 37,23ʺ;15° 40´ 44,18ʺ;Villa san Giovani;Reggio di Calabria;Calabria;;;;2;29.06.2017
Станция № 6 зона на внимание;C.DA Campo;38° 6´ 9,66ʺ;15° 40´ 43,69ʺ;San Pietro in Carida;Reggio di Calabria;Calabria;;;;2;31.07.2017
Станция № 25 защитна зона;;38° 26´ 54ʺ;16° 5´ 50ʺ;Maropati;Reggio di Calabria;Calabria;;;;3;02.08.2017
Станция № 2 защитна зона;Strada Statale;38° 31´ 31,7ʺ;16° 1´ 41,5ʺ;Candidoni;Reggio di Calabria;Calabria;;;;2;28.09.2017
;;38°  6´  9,67ʺ;15° 44´ 43,68ʺ;Laurena di Borrello;Reggio di Calabria;Calabria;;100;;11;03.04.2017
;c.da Mele;38° 16´ 17,79ʺ;16° 17´ 45,56ʺ;Siderno;Reggio di Calabria;Calabria;;6;;9;03.04.2017
;c.da Colture;38° 24´ 57,86ʺ;16° 28´ 8,48ʺ;Stignano;Reggio di Calabria;Calabria;;;;2;18.04.2017
;Via Stretto;38° 15´ 7,32ʺ;15° 43´ 2,49ʺ;Scilla;Reggio di Calabria;Calabria;;;;1;25.05.2017
