Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.70352E-5,2.750809206,0.078048301,0.44410368,0.026315789,0.005813953
2.91901E-5,3.000687108,0.083748225,0.435298773,0.026315789,0.005813953
3.09096E-5,3.252548159,0.088246192,0.426988524,0.026315789,0.005813953
3.24472E-5,3.500055784,0.092231194,0.419271864,0.026315789,0.00872093
3.39844E-5,3.752049864,0.096180542,0.411753067,0.035087719,0.00872093
3.55714E-5,4.002597581,0.100221676,0.404629996,0.035087719,0.00872093
3.76241E-5,4.250959317,0.105395569,0.397902651,0.035087719,0.00872093
3.96457E-5,4.502864282,0.110433347,0.391472101,0.035087719,0.00872093
4.17015E-5,4.751209999,0.115498346,0.385437277,0.035087719,0.00872093
4.41331E-5,5.003819172,0.121415418,0.379600317,0.035087719,0.00872093
4.58849E-5,5.251188566,0.125629282,0.374159082,0.035087719,0.00872093
4.76798E-5,5.503512486,0.12990511,0.368816779,0.035087719,0.00872093
4.94874E-5,5.751237967,0.134169238,0.36377127,0.043859649,0.00872093
5.07328E-5,6.001505742,0.137082837,0.358824693,0.043859649,0.00872093
5.22171E-5,6.253898262,0.140529939,0.353977048,0.043859649,0.00872093
5.36038E-5,6.502472887,0.143725578,0.349327266,0.043859649,0.00872093
5.50838E-5,6.75281312,0.147109957,0.344776415,0.043859649,0.00872093
5.67854E-5,7.004475651,0.150968423,0.340324495,0.043859649,0.00872093
5.80075E-5,7.251402041,0.153718028,0.336070439,0.043859649,0.00872093
5.97278E-5,7.504491112,0.157558478,0.331816383,0.043859649,0.00872093
6.16239E-5,7.75321642,0.161751118,0.32776019,0.052631579,0.00872093
6.37942E-5,8.004113884,0.166499403,0.323802928,0.052631579,0.011627907
6.53907E-5,8.256250451,0.16995795,0.319944598,0.061403509,0.011627907
6.73964E-5,8.501850475,0.174262665,0.316284131,0.061403509,0.011627907
6.91307E-5,8.753995222,0.177948771,0.312623664,0.061403509,0.011627907
7.07204E-5,9.006149436,0.181298947,0.309062129,0.070175439,0.011627907
7.23547E-5,9.256570856,0.184714807,0.305599525,0.070175439,0.011627907
7.3902E-5,9.505487514,0.187922536,0.302235853,0.070175439,0.011627907
7.51473E-5,9.751598681,0.190486043,0.298971112,0.070175439,0.011627907
7.6564E-5,10.002257716,0.193382738,0.295706371,0.070175439,0.011627907
7.82162E-5,10.257262481,0.196734693,0.29244163,0.070175439,0.014534884
7.97451E-5,10.502089301,0.19981205,0.289374753,0.070175439,0.01744186
8.1723E-5,10.752464945,0.203757972,0.286307875,0.070175439,0.01744186
8.30723E-5,11.000145024,0.206427873,0.283339929,0.070175439,0.01744186
8.48948E-5,11.252433978,0.210005416,0.280371983,0.070175439,0.01744186
8.64459E-5,11.501308268,0.213025106,0.277502968,0.078947368,0.01744186
8.81397E-5,11.754370217,0.216296307,0.274633953,0.087719298,0.01744186
8.94335E-5,12.003222079,0.218776583,0.27186387,0.087719298,0.020348837
9.11456E-5,12.255925943,0.222034976,0.269093787,0.087719298,0.020348837
9.23983E-5,12.503889434,0.224401744,0.266422636,0.087719298,0.020348837
9.38308E-5,12.755286888,0.227090797,0.263751484,0.087719298,0.020348837
9.52702E-5,13.000906044,0.229773863,0.261179264,0.087719298,0.020348837
9.69592E-5,13.250942915,0.232898834,0.258607044,0.087719298,0.020348837
9.8337E-5,13.50494305,0.235429035,0.256034824,0.087719298,0.020348837
1.00356E-4,13.753086602,0.239107469,0.253561535,0.087719298,0.020348837
1.02472E-4,14.007145553,0.242923496,0.251088247,0.087719298,0.020348837
1.0366E-4,14.254504199,0.245049621,0.24871389,0.096491228,0.020348837
1.05599E-4,14.505817152,0.248494077,0.246339533,0.096491228,0.023255814
1.07888E-4,14.751420151,0.252521611,0.244064108,0.105263158,0.023255814
1.09926E-4,15.001816627,0.256070352,0.241788682,0.105263158,0.023255814
1.1182E-4,15.257143812,0.259337577,0.239513257,0.114035088,0.026162791
1.14254E-4,15.505883511,0.263495279,0.237336763,0.114035088,0.026162791
