Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.96418E-5,11.7552164,0.192752989,0.207005427,0.076388889,0.023255814
1.02388E-4,12.007834235,0.19701859,0.204538727,0.076388889,0.023255814
1.04041E-4,12.25592958,0.199565448,0.202170696,0.076388889,0.023255814
1.06569E-4,12.508779199,0.203428093,0.199802664,0.076388889,0.023255814
1.08942E-4,12.756380677,0.207019857,0.1975333,0.076388889,0.023255814
1.11444E-4,13.010422725,0.210771522,0.195263937,0.083333333,0.023255814
1.13238E-4,13.257686569,0.213440077,0.193093241,0.090277778,0.023255814
1.14792E-4,13.508636375,0.215737211,0.190922546,0.090277778,0.023255814
1.16533E-4,13.751460642,0.218295273,0.188850518,0.090277778,0.023255814
1.19145E-4,14.011221493,0.222101313,0.186679822,0.097222222,0.023255814
1.20987E-4,14.251539476,0.224763833,0.184706463,0.097222222,0.026162791
1.23186E-4,14.508180971,0.22791729,0.182634435,0.097222222,0.026162791
1.26212E-4,14.757184236,0.232216257,0.180661075,0.097222222,0.026162791
1.28592E-4,15.000011354,0.235563875,0.178786384,0.097222222,0.026162791
1.31958E-4,15.260362733,0.240248164,0.176813024,0.097222222,0.026162791
1.33845E-4,15.512964772,0.242849018,0.174938333,0.097222222,0.026162791
1.36284E-4,15.756465905,0.246185087,0.173162309,0.097222222,0.026162791
1.38259E-4,16.003587618,0.248864674,0.171386285,0.097222222,0.026162791
1.40433E-4,16.254375854,0.251792486,0.169610261,0.097222222,0.026162791
1.43237E-4,16.509540694,0.255535792,0.167834238,0.104166667,0.026162791
1.4568E-4,16.754815119,0.258766111,0.166156882,0.104166667,0.026162791
1.47715E-4,17.004208193,0.261435948,0.164479526,0.104166667,0.026162791
1.50554E-4,17.257445493,0.265128569,0.162802171,0.118055556,0.026162791
1.52403E-4,17.500054577,0.267513746,0.161223483,0.125,0.026162791
1.55466E-4,17.7616705,0.271430294,0.159546127,0.125,0.026162791
1.58845E-4,18.013211936,0.275704096,0.15796744,0.131944444,0.026162791
1.63201E-4,18.254181583,0.281138407,0.15648742,0.138888889,0.026162791
1.65877E-4,18.501004422,0.284437296,0.1550074,0.145833333,0.026162791
1.6876E-4,18.751933976,0.287957146,0.15352738,0.145833333,0.026162791
1.71319E-4,19.007223967,0.291053266,0.152047361,0.145833333,0.026162791
1.74121E-4,19.266239143,0.294411631,0.150567341,0.145833333,0.026162791
1.77183E-4,19.512307258,0.298046404,0.149185989,0.145833333,0.026162791
1.78698E-4,19.761557187,0.299830087,0.147804637,0.145833333,0.026162791
1.83074E-4,20.014919094,0.304934018,0.146423286,0.145833333,0.026162791
1.84847E-4,20.254128475,0.306980333,0.145140602,0.145833333,0.026162791
1.87965E-4,20.515247778,0.310550355,0.14375925,0.145833333,0.026162791
1.89798E-4,20.761073943,0.312631898,0.142476566,0.145833333,0.026162791
1.92435E-4,21.009754288,0.315605469,0.141193883,0.145833333,0.026162791
1.94558E-4,21.261636992,0.317980097,0.139911199,0.145833333,0.026162791
1.97832E-4,21.516484089,0.321609464,0.138628515,0.145833333,0.026162791
2.01258E-4,21.756308539,0.325367422,0.137444499,0.145833333,0.026162791
2.03915E-4,22.019939109,0.32825294,0.136161815,0.152777778,0.029069767
2.07081E-4,22.266689327,0.331659203,0.1349778,0.159722222,0.029069767
2.10111E-4,22.516832258,0.334886264,0.133793784,0.159722222,0.029069767
2.13606E-4,22.770886581,0.338571222,0.132609768,0.159722222,0.029069767
2.15506E-4,23.007087882,0.340557097,0.13152442,0.166666667,0.029069767
2.19013E-4,23.267992763,0.344191298,0.130340405,0.166666667,0.029069767
2.22425E-4,23.511128236,0.34768921,0.129255057,0.166666667,0.029069767
2.26091E-4,23.757895324,0.351405641,0.128169709,0.173611111,0.029069767
2.29788E-4,24.00910868,0.35511157,0.127084361,0.180555556,0.029069767
2.33039E-4,24.263910258,0.358335154,0.125999013,0.180555556,0.029069767
2.35444E-4,24.521336098,0.36069937,0.124913666,0.180555556,0.029069767
2.37159E-4,24.757528489,0.362375336,0.123926986,0.180555556,0.029069767
2.40293E-4,25.020252536,0.365413283,0.122841638,0.180555556,0.029069767
2.42755E-4,25.262003098,0.367781139,0.121854958,0.180555556,0.029069767
2.45049E-4,25.506159979,0.369970433,0.120868278,0.180555556,0.029069767
2.47555E-4,25.752304727,0.372345213,0.119881598,0.180555556,0.029069767
2.49365E-4,26.000781219,0.374049176,0.118894919,0.180555556,0.029069767
2.52514E-4,26.251747853,0.376991607,0.117908239,0.180555556,0.029069767
2.55652E-4,26.505900426,0.379897571,0.116921559,0.180555556,0.029069767
2.59872E-4,26.763753543,0.383761668,0.115934879,0.180555556,0.029069767
2.63668E-4,27.025462134,0.387196885,0.114948199,0.180555556,0.029069767
2.67027E-4,27.264356874,0.390204519,0.114060187,0.180555556,0.029069767
2.69257E-4,27.505752741,0.392185349,0.113172176,0.180555556,0.029069767
2.73054E-4,27.777225788,0.395528166,0.112185496,0.180555556,0.029069767
2.79536E-4,28.026599894,0.40115129,0.111297484,0.1875,0.031976744
2.82131E-4,28.251308364,0.403372759,0.11050814,0.1875,0.031976744
2.851E-4,28.506572281,0.40589457,0.109620128,0.1875,0.031976744
2.87821E-4,28.764193111,0.408187111,0.108732116,0.1875,0.031976744
2.90407E-4,29.024409144,0.410350322,0.107844105,0.194444444,0.031976744
2.9342E-4,29.258326198,0.412849695,0.107054761,0.194444444,0.031976744
2.9542E-4,29.523471893,0.414497443,0.106166749,0.194444444,0.037790698
2.98381E-4,29.760963803,0.416919996,0.105377405,0.194444444,0.037790698
3.01205E-4,30.001033095,0.419211856,0.104588061,0.194444444,0.037790698
3.08463E-4,30.276023904,0.42502,0.103700049,0.194444444,0.037790698
3.11608E-4,30.523961641,0.427500809,0.102910705,0.201388889,0.037790698
3.13863E-4,30.774212488,0.429265993,0.102121362,0.208333333,0.037790698
